province,year,min_wage
ACEH,2015,1900000.0
ACEH,2016,2118500.0
ACEH,2017,2500000.0
ACEH,2018,2700000.0
ACEH,2019,2916810.0
ACEH,2020,3165031.0
ACEH,2021,3165031.0
ACEH,2022,3166460.0
SUMATERA UTARA,2015,1625000.0
SUMATERA UTARA,2016,1811875.0
SUMATERA UTARA,2017,1961354.0
SUMATERA UTARA,2018,2132189.0
SUMATERA UTARA,2019,2303403.0
SUMATERA UTARA,2020,2499423.0
SUMATERA UTARA,2021,2499423.0
SUMATERA UTARA,2022,2522610.0
SUMATERA BARAT,2015,1615000.0
SUMATERA BARAT,2016,1800725.0
SUMATERA BARAT,2017,1949284.0
SUMATERA BARAT,2018,2119067.0
SUMATERA BARAT,2019,2289220.0
SUMATERA BARAT,2020,2484041.0
SUMATERA BARAT,2021,2484041.0
SUMATERA BARAT,2022,2512539.0
RIAU,2015,1878000.0
RIAU,2016,2095000.0
RIAU,2017,2266722.0
RIAU,2018,2464154.0
RIAU,2019,2662026.0
RIAU,2020,2888564.0
RIAU,2021,2888564.0
RIAU,2022,2938564.0
JAMBI,2015,1710000.0
JAMBI,2016,1906650.0
JAMBI,2017,2063000.0
JAMBI,2018,2243719.0
JAMBI,2019,2423889.0
JAMBI,2020,2630162.0
JAMBI,2021,2788826.0
JAMBI,2022,2698941.0
SUMATERA SELATAN,2015,1974346.0
SUMATERA SELATAN,2016,2206000.0
SUMATERA SELATAN,2017,2388000.0
SUMATERA SELATAN,2018,2595995.0
SUMATERA SELATAN,2019,2804453.0
SUMATERA SELATAN,2020,3043111.0
SUMATERA SELATAN,2021,3043111.0
SUMATERA SELATAN,2022,3144446.0
BENGKULU,2015,1500000.0
BENGKULU,2016,1605000.0
BENGKULU,2017,1737412.0
BENGKULU,2018,1888741.0
BENGKULU,2019,2040407.0
BENGKULU,2020,2213604.0
BENGKULU,2021,2460996.0
BENGKULU,2022,2238094.0
LAMPUNG,2015,1581000.0
LAMPUNG,2016,1763000.0
LAMPUNG,2017,1908447.0
LAMPUNG,2018,2074673.0
LAMPUNG,2019,2241270.0
LAMPUNG,2020,2432002.0
LAMPUNG,2021,2432001.0
LAMPUNG,2022,2440486.0
KEP. BANGKA BELITUNG,2015,2100000.0
KEP. BANGKA BELITUNG,2016,2341500.0
KEP. BANGKA BELITUNG,2017,2538673.0
KEP. BANGKA BELITUNG,2018,2755444.0
KEP. BANGKA BELITUNG,2019,2976706.0
KEP. BANGKA BELITUNG,2020,3230024.0
KEP. BANGKA BELITUNG,2021,3000804.0
KEP. BANGKA BELITUNG,2022,3264884.0
KEP. RIAU,2015,1954000.0
KEP. RIAU,2016,2178710.0
KEP. RIAU,2017,2358454.0
KEP. RIAU,2018,2563875.0
KEP. RIAU,2019,2769754.0
KEP. RIAU,2020,3005460.0
KEP. RIAU,2021,3005460.0
KEP. RIAU,2022,3050172.0
DKI JAKARTA,2015,2700000.0
DKI JAKARTA,2016,3100000.0
DKI JAKARTA,2017,3355750.0
DKI JAKARTA,2018,3648036.0
DKI JAKARTA,2019,3940973.0
DKI JAKARTA,2020,4276350.0
DKI JAKARTA,2021,1765000.0
DKI JAKARTA,2022,4641854.0
JAWA BARAT,2015,1000000.0
JAWA BARAT,2016,2250000.0
JAWA BARAT,2017,1420624.0
JAWA BARAT,2018,1544361.0
JAWA BARAT,2019,1668373.0
JAWA BARAT,2020,1810351.0
JAWA BARAT,2021,2630162.0
JAWA BARAT,2022,1841487.0
JAWA TENGAH,2015,910000.0
JAWA TENGAH,2016,910000.0
JAWA TENGAH,2017,1367000.0
JAWA TENGAH,2018,1486065.0
JAWA TENGAH,2019,1605396.0
JAWA TENGAH,2020,1742015.0
JAWA TENGAH,2021,1810351.0
JAWA TENGAH,2022,1812935.0
DI YOGYAKARTA,2015,988500.0
DI YOGYAKARTA,2016,988500.0
DI YOGYAKARTA,2017,1337645.0
DI YOGYAKARTA,2018,1454154.0
DI YOGYAKARTA,2019,1570923.0
DI YOGYAKARTA,2020,1704608.0
DI YOGYAKARTA,2021,2215000.0
DI YOGYAKARTA,2022,1840916.0
JAWA TIMUR,2015,1000000.0
JAWA TIMUR,2016,1000000.0
JAWA TIMUR,2017,1338000.0
JAWA TIMUR,2018,1508895.0
JAWA TIMUR,2019,1630059.0
JAWA TIMUR,2020,1768777.0
JAWA TIMUR,2021,1798979.0
JAWA TIMUR,2022,1891567.0
BANTEN,2015,1600000.0
BANTEN,2016,1784000.0
BANTEN,2017,1931180.0
BANTEN,2018,2099385.0
BANTEN,2019,2267990.0
BANTEN,2020,2460997.0
BANTEN,2021,3230023.0
BANTEN,2022,2501203.0
BALI,2015,1621172.0
BALI,2016,1807600.0
BALI,2017,1956727.0
BALI,2018,2127157.0
BALI,2019,2297969.0
BALI,2020,2494000.0
BALI,2021,2494000.0
BALI,2022,2516971.0
NUSA TENGGARA BARAT,2015,1330000.0
NUSA TENGGARA BARAT,2016,1482950.0
NUSA TENGGARA BARAT,2017,1631245.0
NUSA TENGGARA BARAT,2018,1825000.0
NUSA TENGGARA BARAT,2019,2012610.0
NUSA TENGGARA BARAT,2020,2183883.0
NUSA TENGGARA BARAT,2021,2183883.0
NUSA TENGGARA BARAT,2022,2207212.0
NUSA TENGGARA TIMUR,2015,1250000.0
NUSA TENGGARA TIMUR,2016,1425000.0
NUSA TENGGARA TIMUR,2017,1525000.0
NUSA TENGGARA TIMUR,2018,1660000.0
NUSA TENGGARA TIMUR,2019,1795000.0
NUSA TENGGARA TIMUR,2020,1950000.0
NUSA TENGGARA TIMUR,2021,1950000.0
NUSA TENGGARA TIMUR,2022,1975000.0
KALIMANTAN BARAT,2015,1560000.0
KALIMANTAN BARAT,2016,1739400.0
KALIMANTAN BARAT,2017,1882900.0
KALIMANTAN BARAT,2018,2046900.0
KALIMANTAN BARAT,2019,2211500.0
KALIMANTAN BARAT,2020,2399699.0
KALIMANTAN BARAT,2021,1868777.0
KALIMANTAN BARAT,2022,2434328.0
KALIMANTAN TENGAH,2015,1896367.0
KALIMANTAN TENGAH,2016,2057558.0
KALIMANTAN TENGAH,2017,2227307.0
KALIMANTAN TENGAH,2018,2421305.0
KALIMANTAN TENGAH,2019,2663435.0
KALIMANTAN TENGAH,2020,2903145.0
KALIMANTAN TENGAH,2021,2877448.0
KALIMANTAN TENGAH,2022,2922516.0
KALIMANTAN SELATAN,2015,1870000.0
KALIMANTAN SELATAN,2016,2085050.0
KALIMANTAN SELATAN,2017,2258000.0
KALIMANTAN SELATAN,2018,2454671.0
KALIMANTAN SELATAN,2019,2651782.0
KALIMANTAN SELATAN,2020,2877449.0
KALIMANTAN SELATAN,2021,2399698.0
KALIMANTAN SELATAN,2022,2906473.0
KALIMANTAN TIMUR,2015,2026126.0
KALIMANTAN TIMUR,2016,2161253.0
KALIMANTAN TIMUR,2017,2354800.0
KALIMANTAN TIMUR,2018,2543332.0
KALIMANTAN TIMUR,2019,2747561.0
KALIMANTAN TIMUR,2020,2981379.0
KALIMANTAN TIMUR,2021,2903144.0
KALIMANTAN TIMUR,2022,3014497.0
KALIMANTAN UTARA,2015,2026126.0
KALIMANTAN UTARA,2016,2175340.0
KALIMANTAN UTARA,2017,2358800.0
KALIMANTAN UTARA,2018,2559903.0
KALIMANTAN UTARA,2019,2765463.0
KALIMANTAN UTARA,2020,3000804.0
KALIMANTAN UTARA,2021,2981378.0
KALIMANTAN UTARA,2022,3016738.0
SULAWESI UTARA,2015,2150000.0
SULAWESI UTARA,2016,2400000.0
SULAWESI UTARA,2017,2598000.0
SULAWESI UTARA,2018,2824286.0
SULAWESI UTARA,2019,3051076.0
SULAWESI UTARA,2020,3310723.0
SULAWESI UTARA,2021,3310723.0
SULAWESI UTARA,2022,3310723.0
SULAWESI TENGAH,2015,1500000.0
SULAWESI TENGAH,2016,1670000.0
SULAWESI TENGAH,2017,1807775.0
SULAWESI TENGAH,2018,1965232.0
SULAWESI TENGAH,2019,2123040.0
SULAWESI TENGAH,2020,2303711.0
SULAWESI TENGAH,2021,2303711.0
SULAWESI TENGAH,2022,2390739.0
SULAWESI SELATAN,2015,2000000.0
SULAWESI SELATAN,2016,2250000.0
SULAWESI SELATAN,2017,2435625.0
SULAWESI SELATAN,2018,2647767.0
SULAWESI SELATAN,2019,2860382.0
SULAWESI SELATAN,2020,3103800.0
SULAWESI SELATAN,2021,3165876.0
SULAWESI SELATAN,2022,3165876.0
SULAWESI TENGGARA,2015,1652000.0
SULAWESI TENGGARA,2016,1850000.0
SULAWESI TENGGARA,2017,2002625.0
SULAWESI TENGGARA,2018,2177052.0
SULAWESI TENGGARA,2019,2351870.0
SULAWESI TENGGARA,2020,2552015.0
SULAWESI TENGGARA,2021,2552014.0
SULAWESI TENGGARA,2022,2710596.0
GORONTALO,2015,1600000.0
GORONTALO,2016,1875000.0
GORONTALO,2017,2030000.0
GORONTALO,2018,2206813.0
GORONTALO,2019,2384020.0
GORONTALO,2020,2788826.0
GORONTALO,2021,4416186.0
GORONTALO,2022,2800580.0
SULAWESI BARAT,2015,1655500.0
SULAWESI BARAT,2016,1864000.0
SULAWESI BARAT,2017,2017780.0
SULAWESI BARAT,2018,2193530.0
SULAWESI BARAT,2019,2381000.0
SULAWESI BARAT,2020,2678863.0
SULAWESI BARAT,2021,2678863.0
SULAWESI BARAT,2022,2678863.0
MALUKU,2015,1650000.0
MALUKU,2016,1775000.0
MALUKU,2017,1925000.0
MALUKU,2018,2222220.0
MALUKU,2019,2400664.0
MALUKU,2020,2604961.0
MALUKU,2021,2604961.0
MALUKU,2022,2619313.0
MALUKU UTARA,2015,1577617.0
MALUKU UTARA,2016,1681266.0
MALUKU UTARA,2017,1975000.0
MALUKU UTARA,2018,2320803.0
MALUKU UTARA,2019,2508091.0
MALUKU UTARA,2020,2721530.0
MALUKU UTARA,2021,2721530.0
MALUKU UTARA,2022,2862231.0
PAPUA BARAT,2015,2015000.0
PAPUA BARAT,2016,2237000.0
PAPUA BARAT,2017,2421500.0
PAPUA BARAT,2018,2667000.0
PAPUA BARAT,2019,2934500.0
PAPUA BARAT,2020,3134600.0
PAPUA BARAT,2021,3134600.0
PAPUA BARAT,2022,3200000.0
PAPUA,2015,2193000.0
PAPUA,2016,2435000.0
PAPUA,2017,2663646.0
PAPUA,2018,3000000.0
PAPUA,2019,3240900.0
PAPUA,2020,3516700.0
PAPUA,2021,3516700.0
PAPUA,2022,3561932.0
INDONESIA,2015,1790342.0
INDONESIA,2016,1997819.0
INDONESIA,2017,2073332.0
INDONESIA,2018,2268874.0
INDONESIA,2019,2455662.0
INDONESIA,2020,2672371.0
INDONESIA,2021,2684743.0
INDONESIA,2022,2729463.0
